total_goals,total_shots,total_xg,total_yellow_cards,total_passes,top_scorer_goals,year,team
10.0,67,8.1565835006,0.0,982,5.0,1958,Brazil
2.0,15,1.4712429085,0.0,390,1.0,1958,France
2.0,6,0.784290558,0.0,422,1.0,1958,Sweden
2.0,34,2.359789981,0.0,509,1.0,1962,Brazil
0.0,9,0.895518484,1.0,432,0.0,1962,Mexico
19.0,151,14.7396271396,2.0,2908,7.0,1970,Brazil
1.0,32,2.4175017337,0.0,433,1.0,1970,Czechoslovakia
0.0,21,1.53755906,1.0,476,0.0,1970,England
1.0,26,1.6352145004999998,1.0,309,1.0,1970,Italy
2.0,19,0.9219819954,0.0,471,1.0,1970,Peru
2.0,18,1.166938384,2.0,381,1.0,1970,Romania
1.0,18,0.8424569193,3.0,359,1.0,1970,Uruguay
0.0,3,0.13200836,1.0,391,0.0,1974,Argentina
0.0,14,0.9625694706000001,2.0,447,0.0,1974,Brazil
1.0,24,1.2726858678,0.0,658,1.0,1974,German DR
2.0,38,3.1999572069999997,1.0,856,1.0,1974,Germany
9.0,90,8.6554021476,6.0,2535,3.0,1974,Netherlands
0.0,8,0.6863478120000001,4.0,307,0.0,1974,Sweden
7.0,43,4.747819589,2.0,1145,4.0,1986,Argentina
0.0,21,1.0339213912,0.0,395,0.0,1986,Belgium
1.0,12,0.8854242549,1.0,353,1.0,1986,England
2.0,12,1.460962871,1.0,368,1.0,1986,Germany
1.0,6,1.0229263789999998,2.0,319,1.0,1990,Argentina
0.0,17,1.7768976516000001,2.0,492,0.0,1990,Brazil
6.0,58,5.5956954977,7.0,2461,2.0,2018,Argentina
2.0,34,4.021492578,6.0,1552,2.0,2018,Australia
15.0,108,12.7244262895,9.0,3779,4.0,2018,Belgium
8.0,103,12.312378708699999,5.0,2900,2.0,2018,Brazil
9.0,46,7.2267108718,7.0,1992,3.0,2018,Colombia
1.0,28,2.3309278237,3.0,1137,1.0,2018,Costa Rica
20.0,124,19.4774227802,12.0,4066,4.0,2018,Croatia
5.0,45,6.8889652518,5.0,1803,1.0,2018,Denmark
2.0,31,2.985732648,4.0,1332,2.0,2018,Egypt
16.0,101,15.797503708299999,4.0,4081,7.0,2018,England
12.0,82,8.7985774767,6.0,3259,4.0,2018,France
2.0,73,6.3237442432,3.0,2071,1.0,2018,Germany
2.0,36,4.716973363,3.0,894,1.0,2018,Iceland
1.0,23,2.7009847177,5.0,768,1.0,2018,Iran
6.0,44,4.8872659867,4.0,2150,2.0,2018,Japan
3.0,62,5.0643438347,8.0,1756,1.0,2018,Mexico
2.0,39,3.586058575,5.0,1262,1.0,2018,Morocco
3.0,39,3.3798261047,4.0,1276,2.0,2018,Nigeria
1.0,24,2.3961893183,7.0,1061,1.0,2018,Panama
2.0,33,2.8879745145999998,4.0,1414,1.0,2018,Peru
2.0,32,3.197235273,3.0,1532,1.0,2018,Poland
6.0,58,4.8375765849,4.0,2008,4.0,2018,Portugal
17.0,59,11.971802201,6.0,1978,5.0,2018,Russia
2.0,35,3.0681078083,1.0,1830,1.0,2018,Saudi Arabia
3.0,29,3.666880001,4.0,1102,1.0,2018,Senegal
2.0,35,4.094373743,6.0,1233,1.0,2018,Serbia
3.0,34,3.010795555,9.0,1001,2.0,2018,South Korea
9.0,77,11.820997307999999,2.0,3506,3.0,2018,Spain
5.0,58,7.365430616,7.0,1669,2.0,2018,Sweden
5.0,55,3.782082641,6.0,2222,1.0,2018,Switzerland
5.0,38,4.9862862986,4.0,1483,2.0,2018,Tunisia
6.0,63,7.3999896728,2.0,2303,3.0,2018,Uruguay
23.0,110,20.988442916,11.0,4615,9.0,2022,Argentina
3.0,26,1.5781715056999999,7.0,1707,1.0,2022,Australia
1.0,35,3.6944930278,5.0,1867,1.0,2022,Belgium
10.0,99,13.6365929812,6.0,3196,3.0,2022,Brazil
4.0,28,3.0667434502,6.0,1261,2.0,2022,Cameroon
1.0,35,3.928625529,7.0,1571,1.0,2022,Canada
2.0,11,1.2341124509999999,6.0,1094,1.0,2022,Costa Rica
15.0,87,13.1697023989,5.0,4511,2.0,2022,Croatia
1.0,35,3.192257232,5.0,1928,1.0,2022,Denmark
4.0,30,3.8067283904,3.0,1447,3.0,2022,Ecuador
13.0,63,8.735856199,1.0,3238,3.0,2022,England
18.0,106,14.955858183,7.0,3926,9.0,2022,France
6.0,68,8.2310779317,3.0,1963,2.0,2022,Germany
5.0,25,3.3532532787,7.0,1248,2.0,2022,Ghana
4.0,33,3.8304064883,5.0,1125,2.0,2022,Iran
6.0,48,7.383570514,6.0,1748,2.0,2022,Japan
2.0,41,3.057649911,7.0,1435,1.0,2022,Mexico
9.0,66,8.678369942,6.0,2865,2.0,2022,Morocco
13.0,48,8.91128704,4.0,3005,3.0,2022,Netherlands
3.0,31,4.663221082,7.0,1524,2.0,2022,Poland
12.0,66,7.3127104283,5.0,3129,3.0,2022,Portugal
1.0,20,1.4079916985,7.0,1406,1.0,2022,Qatar
3.0,30,3.201549268,9.0,1190,2.0,2022,Saudi Arabia
5.0,50,4.2747284715,7.0,1696,1.0,2022,Senegal
5.0,32,3.090397962,7.0,1503,2.0,2022,Serbia
5.0,48,3.6045950894,5.0,2011,2.0,2022,South Korea
9.0,51,7.1046272574,2.0,3914,3.0,2022,Spain
5.0,37,6.090516355,8.0,2035,2.0,2022,Switzerland
1.0,32,2.410452449,5.0,1326,1.0,2022,Tunisia
3.0,46,3.9385379416,5.0,2201,1.0,2022,United States
2.0,33,3.2705338566,3.0,1477,2.0,2022,Uruguay
1.0,24,2.218980701,5.0,1353,1.0,2022,Wales
